question_id,condition,category,answerability,expected_behavior,manual_review_required,factual_correctness_evaluable,answer_relevance,biomedical_factual_correctness,completeness,uncertainty_abstention,context_groundedness,context_utilization
Q012,gpt_5_4_mini_baseline,variant_interpretation,graph_direct,answer,False,True,3.0,4.0,2.0,5.0,,
Q012,gpt_5_4_mini_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,5.0,5.0,5.0,5.0
Q013,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,True,2.0,1.0,2.0,1.0,,
Q013,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,5.0,5.0,5.0,5.0
Q013,gpt_5_4_mini_baseline,variant_interpretation,graph_direct,answer,False,True,2.0,4.0,2.0,4.0,,
Q013,gpt_5_4_mini_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,4.0,5.0,5.0,5.0
Q014,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,True,3.0,4.0,3.0,5.0,,
Q014,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,4.0,5.0,5.0,5.0
Q014,gpt_5_4_mini_baseline,variant_interpretation,graph_direct,answer,False,True,5.0,1.0,3.0,1.0,,
Q014,gpt_5_4_mini_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,5.0,5.0,5.0,5.0
Q015,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,True,3.0,1.0,2.0,1.0,,
Q015,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,True,4.0,3.0,4.0,3.0,3.0,4.0
Q015,gpt_5_4_mini_baseline,variant_interpretation,graph_direct,answer,False,True,3.0,4.0,2.0,5.0,,
Q015,gpt_5_4_mini_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,5.0,5.0,4.0,5.0
Q016,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,True,2.0,3.0,1.0,2.0,,
Q016,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,5.0,5.0,5.0,5.0
Q016,gpt_5_4_mini_baseline,variant_interpretation,graph_direct,answer,False,True,2.0,3.0,1.0,2.0,,
Q016,gpt_5_4_mini_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,5.0,5.0,5.0,5.0
Q017,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,True,3.0,1.0,2.0,2.0,,
Q017,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,True,3.0,2.0,2.0,1.0,2.0,2.0
Q017,gpt_5_4_mini_baseline,variant_interpretation,graph_direct,answer,False,True,2.0,3.0,2.0,4.0,,
Q017,gpt_5_4_mini_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,5.0,5.0,5.0,5.0
Q018,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,True,3.0,4.0,2.0,4.0,,
Q018,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,5.0,5.0,5.0,5.0
Q018,gpt_5_4_mini_baseline,variant_interpretation,graph_direct,answer,False,True,4.0,1.0,2.0,1.0,,
Q018,gpt_5_4_mini_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,5.0,5.0,5.0,5.0
Q019,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,True,2.0,2.0,1.0,2.0,,
Q019,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,4.0,5.0,5.0,4.0,5.0
Q019,gpt_5_4_mini_baseline,variant_interpretation,graph_direct,answer,False,True,2.0,2.0,1.0,2.0,,
Q019,gpt_5_4_mini_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,5.0,5.0,5.0,5.0
Q020,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,True,3.0,1.0,1.0,1.0,,
Q020,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,4.0,4.0,3.0,4.0,3.0
Q020,gpt_5_4_mini_baseline,variant_interpretation,graph_direct,answer,False,True,2.0,3.0,1.0,4.0,,
Q020,gpt_5_4_mini_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,5.0,5.0,5.0,5.0
Q021,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,True,4.0,5.0,3.0,5.0,,
Q021,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,5.0,5.0,5.0,5.0
Q021,gpt_5_4_mini_baseline,variant_interpretation,graph_direct,answer,False,True,5.0,1.0,2.0,1.0,,
Q021,gpt_5_4_mini_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,5.0,5.0,5.0,5.0
Q022,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,True,4.0,2.0,2.0,3.0,,
Q022,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,4.0,5.0,5.0,5.0
Q022,gpt_5_4_mini_baseline,variant_interpretation,graph_direct,answer,False,True,4.0,3.0,2.0,2.0,,
Q022,gpt_5_4_mini_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,5.0,5.0,5.0,5.0
Q023,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,True,2.0,3.0,1.0,2.0,,
Q023,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,5.0,5.0,5.0,5.0
Q023,gpt_5_4_mini_baseline,variant_interpretation,graph_direct,answer,False,True,5.0,1.0,1.0,1.0,,
Q023,gpt_5_4_mini_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,5.0,5.0,5.0,5.0
Q024,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,True,3.0,1.0,2.0,2.0,,
Q024,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,5.0,5.0,5.0,5.0
Q024,gpt_5_4_mini_baseline,variant_interpretation,graph_direct,answer,False,True,4.0,3.0,3.0,4.0,,
Q024,gpt_5_4_mini_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,5.0,5.0,5.0,5.0
Q025,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,True,2.0,3.0,2.0,4.0,,
Q025,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,4.0,5.0,5.0,5.0
Q025,gpt_5_4_mini_baseline,variant_interpretation,graph_direct,answer,False,True,2.0,3.0,1.0,4.0,,
Q025,gpt_5_4_mini_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,5.0,5.0,5.0,5.0
Q026,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,True,3.0,1.0,2.0,2.0,,
Q026,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,5.0,5.0,5.0,5.0
Q026,gpt_5_4_mini_baseline,variant_interpretation,graph_direct,answer,False,True,5.0,1.0,2.0,1.0,,
Q026,gpt_5_4_mini_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,5.0,5.0,5.0,5.0
Q027,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,True,2.0,1.0,1.0,1.0,,
Q027,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,4.0,4.0,3.0,3.0,3.0
Q027,gpt_5_4_mini_baseline,variant_interpretation,graph_direct,answer,False,True,2.0,4.0,1.0,4.0,,
Q027,gpt_5_4_mini_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,5.0,5.0,4.0,5.0
Q028,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,True,3.0,5.0,2.0,5.0,,
Q028,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,5.0,5.0,5.0,5.0
Q028,gpt_5_4_mini_baseline,variant_interpretation,graph_direct,answer,False,True,3.0,5.0,2.0,5.0,,
Q028,gpt_5_4_mini_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,5.0,5.0,5.0,5.0
Q029,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,True,4.0,1.0,1.0,1.0,,
Q029,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,5.0,5.0,4.0,4.0
Q029,gpt_5_4_mini_baseline,variant_interpretation,graph_direct,answer,False,True,3.0,3.0,2.0,4.0,,
Q029,gpt_5_4_mini_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,5.0,5.0,5.0,5.0
Q030,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,True,2.0,1.0,1.0,1.0,,
Q030,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,5.0,5.0,5.0,5.0
Q030,gpt_5_4_mini_baseline,variant_interpretation,graph_direct,answer,False,True,2.0,2.0,1.0,2.0,,
Q030,gpt_5_4_mini_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,5.0,5.0,5.0,5.0
Q031,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,True,2.0,1.0,1.0,1.0,,
Q031,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,True,3.0,3.0,2.0,4.0,3.0,3.0
Q031,gpt_5_4_mini_baseline,variant_interpretation,graph_direct,answer,False,True,4.0,4.0,3.0,4.0,,
Q031,gpt_5_4_mini_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,5.0,5.0,5.0,5.0
Q032,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,True,3.0,1.0,2.0,2.0,,
Q032,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,5.0,5.0,5.0,5.0
Q032,gpt_5_4_mini_baseline,variant_interpretation,graph_direct,answer,False,True,2.0,4.0,1.0,4.0,,
Q032,gpt_5_4_mini_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,4.0,4.0,4.0,4.0,5.0
Q033,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,True,3.0,1.0,1.0,1.0,,
Q033,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,5.0,5.0,4.0,5.0
Q033,gpt_5_4_mini_baseline,variant_interpretation,graph_direct,answer,False,True,2.0,3.0,1.0,2.0,,
Q033,gpt_5_4_mini_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,5.0,5.0,5.0,5.0
Q034,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,True,3.0,1.0,1.0,1.0,,
Q034,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,4.0,4.0,4.0,4.0,4.0
Q034,gpt_5_4_mini_baseline,variant_interpretation,graph_direct,answer,False,True,2.0,3.0,1.0,3.0,,
Q034,gpt_5_4_mini_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,5.0,5.0,4.0,5.0
Q035,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,True,3.0,4.0,2.0,5.0,,
Q035,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,5.0,5.0,5.0,5.0
Q035,gpt_5_4_mini_baseline,variant_interpretation,graph_direct,answer,False,True,5.0,1.0,2.0,1.0,,
Q035,gpt_5_4_mini_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,5.0,5.0,5.0,5.0
Q036,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,True,3.0,1.0,2.0,1.0,,
Q036,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,4.0,5.0,5.0,5.0
Q036,gpt_5_4_mini_baseline,variant_interpretation,graph_direct,answer,False,True,5.0,4.0,4.0,5.0,,
Q036,gpt_5_4_mini_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,5.0,5.0,5.0,5.0
Q037,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,True,2.0,1.0,1.0,2.0,,
Q037,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,4.0,5.0,5.0,5.0
Q037,gpt_5_4_mini_baseline,variant_interpretation,graph_direct,answer,False,True,5.0,1.0,1.0,1.0,,
Q037,gpt_5_4_mini_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,3.0,4.0,2.0,2.0,3.0
Q038,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,True,3.0,1.0,2.0,2.0,,
Q038,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,5.0,5.0,5.0,5.0
Q038,gpt_5_4_mini_baseline,variant_interpretation,graph_direct,answer,False,True,4.0,2.0,3.0,2.0,,
Q038,gpt_5_4_mini_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,4.0,5.0,4.0,4.0,5.0
Q039,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,True,3.0,4.0,2.0,5.0,,
Q039,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,4.0,5.0,5.0,5.0
Q039,gpt_5_4_mini_baseline,variant_interpretation,graph_direct,answer,False,True,3.0,2.0,2.0,3.0,,
Q039,gpt_5_4_mini_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,5.0,5.0,5.0,5.0
Q040,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,True,3.0,4.0,2.0,5.0,,
Q040,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,4.0,5.0,5.0,5.0
Q040,gpt_5_4_mini_baseline,variant_interpretation,graph_direct,answer,False,True,5.0,1.0,2.0,1.0,,
Q040,gpt_5_4_mini_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,5.0,5.0,5.0,5.0
Q041,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,True,2.0,1.0,2.0,1.0,,
Q041,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,4.0,5.0,5.0,5.0
Q041,gpt_5_4_mini_baseline,variant_interpretation,graph_direct,answer,False,True,3.0,4.0,2.0,5.0,,
Q041,gpt_5_4_mini_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,5.0,5.0,4.0,5.0
Q042,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,True,4.0,5.0,3.0,5.0,,
Q042,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,5.0,5.0,5.0,5.0
Q042,gpt_5_4_mini_baseline,variant_interpretation,graph_direct,answer,False,True,4.0,4.0,3.0,5.0,,
Q042,gpt_5_4_mini_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,5.0,5.0,5.0,5.0
Q043,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,True,5.0,1.0,2.0,1.0,,
Q043,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,4.0,5.0,5.0,5.0
Q043,gpt_5_4_mini_baseline,variant_interpretation,graph_direct,answer,False,True,5.0,4.0,4.0,4.0,,
Q043,gpt_5_4_mini_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,5.0,5.0,5.0,5.0
Q044,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,True,2.0,1.0,1.0,1.0,,
Q044,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,True,4.0,2.0,2.0,4.0,5.0,5.0
Q044,gpt_5_4_mini_baseline,variant_interpretation,graph_direct,answer,False,True,2.0,3.0,1.0,4.0,,
Q044,gpt_5_4_mini_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,5.0,5.0,2.0,3.0
Q045,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,True,4.0,1.0,3.0,3.0,,
Q045,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,4.0,5.0,5.0,5.0
Q045,gpt_5_4_mini_baseline,variant_interpretation,graph_direct,answer,False,True,4.0,2.0,3.0,2.0,,
Q045,gpt_5_4_mini_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,5.0,5.0,4.0,5.0
Q046,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,True,3.0,5.0,2.0,5.0,,
Q046,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,4.0,5.0,5.0,5.0
Q046,gpt_5_4_mini_baseline,variant_interpretation,graph_direct,answer,False,True,2.0,4.0,2.0,5.0,,
Q046,gpt_5_4_mini_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,5.0,5.0,5.0,5.0
Q047,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,True,3.0,4.0,3.0,5.0,,
Q047,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,5.0,5.0,5.0,5.0
Q047,gpt_5_4_mini_baseline,variant_interpretation,graph_direct,answer,False,True,4.0,5.0,4.0,5.0,,
Q047,gpt_5_4_mini_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,5.0,5.0,5.0,5.0
Q048,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,True,3.0,1.0,2.0,1.0,,
Q048,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,True,3.0,4.0,2.0,5.0,5.0,5.0
Q048,gpt_5_4_mini_baseline,variant_interpretation,graph_direct,answer,False,True,2.0,3.0,1.0,4.0,,
Q048,gpt_5_4_mini_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,4.0,5.0,5.0,5.0
Q049,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,True,3.0,4.0,2.0,5.0,,
Q049,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,4.0,5.0,5.0,5.0
Q049,gpt_5_4_mini_baseline,variant_interpretation,graph_direct,answer,False,True,3.0,4.0,2.0,5.0,,
Q049,gpt_5_4_mini_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,5.0,5.0,5.0,5.0
Q050,qwen3_8b_baseline,gene_interpretation,graph_plus_literature,answer_with_qualification,False,True,5.0,3.0,3.0,1.0,,
Q050,qwen3_8b_igkf,gene_interpretation,graph_plus_literature,answer_with_qualification,False,True,5.0,5.0,4.0,5.0,5.0,5.0
Q050,gpt_5_4_mini_baseline,gene_interpretation,graph_plus_literature,answer_with_qualification,False,True,5.0,3.0,3.0,3.0,,
Q050,gpt_5_4_mini_igkf,gene_interpretation,graph_plus_literature,answer_with_qualification,False,True,5.0,5.0,5.0,5.0,4.0,5.0
Q051,qwen3_8b_baseline,gene_interpretation,graph_plus_literature,answer_with_qualification,False,True,5.0,2.0,4.0,1.0,,
Q051,qwen3_8b_igkf,gene_interpretation,graph_plus_literature,answer_with_qualification,False,True,5.0,4.0,4.0,4.0,3.0,3.0
Q051,gpt_5_4_mini_baseline,gene_interpretation,graph_plus_literature,answer_with_qualification,False,True,5.0,4.0,5.0,2.0,,
Q051,gpt_5_4_mini_igkf,gene_interpretation,graph_plus_literature,answer_with_qualification,False,True,5.0,5.0,4.0,5.0,4.0,4.0
Q052,qwen3_8b_baseline,gene_interpretation,graph_plus_literature,answer_with_qualification,False,True,4.0,5.0,3.0,5.0,,
Q052,qwen3_8b_igkf,gene_interpretation,graph_plus_literature,answer_with_qualification,False,True,3.0,3.0,3.0,4.0,4.0,4.0
Q052,gpt_5_4_mini_baseline,gene_interpretation,graph_plus_literature,answer_with_qualification,False,True,3.0,5.0,3.0,5.0,,
Q052,gpt_5_4_mini_igkf,gene_interpretation,graph_plus_literature,answer_with_qualification,False,True,5.0,5.0,5.0,5.0,5.0,5.0
Q053,qwen3_8b_baseline,gene_interpretation,graph_plus_literature,answer_with_qualification,False,True,5.0,2.0,2.0,1.0,,
Q053,qwen3_8b_igkf,gene_interpretation,graph_plus_literature,answer_with_qualification,False,True,5.0,5.0,4.0,5.0,4.0,4.0
Q053,gpt_5_4_mini_baseline,gene_interpretation,graph_plus_literature,answer_with_qualification,False,True,5.0,2.0,2.0,1.0,,
Q053,gpt_5_4_mini_igkf,gene_interpretation,graph_plus_literature,answer_with_qualification,False,True,5.0,4.0,4.0,5.0,4.0,4.0
Q054,qwen3_8b_baseline,gene_interpretation,graph_plus_literature,answer_with_qualification,False,True,2.0,2.0,2.0,2.0,,
Q054,qwen3_8b_igkf,gene_interpretation,graph_plus_literature,answer_with_qualification,False,True,5.0,5.0,5.0,4.0,4.0,5.0
Q054,gpt_5_4_mini_baseline,gene_interpretation,graph_plus_literature,answer_with_qualification,False,True,2.0,2.0,1.0,3.0,,
Q054,gpt_5_4_mini_igkf,gene_interpretation,graph_plus_literature,answer_with_qualification,False,True,5.0,5.0,5.0,5.0,5.0,5.0
Q055,qwen3_8b_baseline,gene_interpretation,graph_plus_literature,answer_with_qualification,False,True,4.0,2.0,3.0,1.0,,
Q055,qwen3_8b_igkf,gene_interpretation,graph_plus_literature,answer_with_qualification,False,True,4.0,3.0,4.0,4.0,3.0,3.0
Q055,gpt_5_4_mini_baseline,gene_interpretation,graph_plus_literature,answer_with_qualification,False,True,5.0,4.0,4.0,5.0,,
Q055,gpt_5_4_mini_igkf,gene_interpretation,graph_plus_literature,answer_with_qualification,False,True,5.0,5.0,4.0,5.0,4.0,5.0
Q056,qwen3_8b_baseline,gene_interpretation,graph_plus_literature,answer_with_qualification,False,True,4.0,2.0,3.0,2.0,,
Q056,qwen3_8b_igkf,gene_interpretation,graph_plus_literature,answer_with_qualification,False,True,4.0,4.0,4.0,5.0,3.0,3.0
Q056,gpt_5_4_mini_baseline,gene_interpretation,graph_plus_literature,answer_with_qualification,False,True,5.0,3.0,4.0,3.0,,
Q056,gpt_5_4_mini_igkf,gene_interpretation,graph_plus_literature,answer_with_qualification,False,True,5.0,5.0,5.0,5.0,4.0,5.0
Q057,qwen3_8b_baseline,gene_interpretation,graph_plus_literature,answer_with_qualification,False,True,3.0,4.0,2.0,5.0,,
Q057,qwen3_8b_igkf,gene_interpretation,graph_plus_literature,answer_with_qualification,False,True,4.0,4.0,4.0,4.0,2.0,3.0
Q057,gpt_5_4_mini_baseline,gene_interpretation,graph_plus_literature,answer_with_qualification,False,True,3.0,4.0,2.0,5.0,,
