question_id,randomized_orientation,hidden_system_mapping,judge_model,raw_first_orientation_judgment,raw_reversed_orientation_judgment,decoded_first_orientation_winner,decoded_reversed_orientation_winner,final_reconciled_outcome,position_instability_flag,evaluation_run_id,evaluation_timestamp,prompt_version,rubric_version,context_hash
Q011,"{""original_A"": ""gpt_5_4_mini_igkf"", ""original_B"": ""qwen3_8b_igkf""}","{""original"": {""A"": ""gpt_5_4_mini_igkf"", ""B"": ""qwen3_8b_igkf""}, ""reversed"": {""A"": ""qwen3_8b_igkf"", ""B"": ""gpt_5_4_mini_igkf""}}",gpt-5.5,A,B,MINI,MINI,MINI_WIN,False,final_pairwise_graphrag_qwen_vs_mini,2026-07-07T21:34:54.309496+00:00,pairwise_prompt_v1,pairwise_biomedical_rubric_v1,3c5a3397f40c23f85c8073363fc8b081f089be12da69a3a21bfdd534c0a7a3b0
Q012,"{""original_A"": ""qwen3_8b_igkf"", ""original_B"": ""gpt_5_4_mini_igkf""}","{""original"": {""A"": ""qwen3_8b_igkf"", ""B"": ""gpt_5_4_mini_igkf""}, ""reversed"": {""A"": ""gpt_5_4_mini_igkf"", ""B"": ""qwen3_8b_igkf""}}",gpt-5.5,B,A,MINI,MINI,MINI_WIN,False,final_pairwise_graphrag_qwen_vs_mini,2026-07-07T21:34:54.309589+00:00,pairwise_prompt_v1,pairwise_biomedical_rubric_v1,34e42a4efa2c78b87cf7ff0333cdd539cff95d702ac4f450fffd25018fbbf73f
Q013,"{""original_A"": ""gpt_5_4_mini_igkf"", ""original_B"": ""qwen3_8b_igkf""}","{""original"": {""A"": ""gpt_5_4_mini_igkf"", ""B"": ""qwen3_8b_igkf""}, ""reversed"": {""A"": ""qwen3_8b_igkf"", ""B"": ""gpt_5_4_mini_igkf""}}",gpt-5.5,B,A,QWEN,QWEN,QWEN_WIN,False,final_pairwise_graphrag_qwen_vs_mini,2026-07-07T21:34:54.309686+00:00,pairwise_prompt_v1,pairwise_biomedical_rubric_v1,3ddb56d3f6893aad4eb5ec543ec0f79ca1583e6ede75e273b49566559124c87b
Q014,"{""original_A"": ""gpt_5_4_mini_igkf"", ""original_B"": ""qwen3_8b_igkf""}","{""original"": {""A"": ""gpt_5_4_mini_igkf"", ""B"": ""qwen3_8b_igkf""}, ""reversed"": {""A"": ""qwen3_8b_igkf"", ""B"": ""gpt_5_4_mini_igkf""}}",gpt-5.5,B,B,QWEN,MINI,POSITION_UNSTABLE,True,final_pairwise_graphrag_qwen_vs_mini,2026-07-07T21:34:54.309779+00:00,pairwise_prompt_v1,pairwise_biomedical_rubric_v1,fe3cd670ad10187115d53e31b9c9885fc8849ff5923eb20552bc2b6dda60caf9
Q015,"{""original_A"": ""gpt_5_4_mini_igkf"", ""original_B"": ""qwen3_8b_igkf""}","{""original"": {""A"": ""gpt_5_4_mini_igkf"", ""B"": ""qwen3_8b_igkf""}, ""reversed"": {""A"": ""qwen3_8b_igkf"", ""B"": ""gpt_5_4_mini_igkf""}}",gpt-5.5,A,B,MINI,MINI,MINI_WIN,False,final_pairwise_graphrag_qwen_vs_mini,2026-07-07T21:34:54.309871+00:00,pairwise_prompt_v1,pairwise_biomedical_rubric_v1,7ba19007ae6ed050d0c982fe5583003f2f90fedf72b2be91fc77ad0a23526721
Q016,"{""original_A"": ""gpt_5_4_mini_igkf"", ""original_B"": ""qwen3_8b_igkf""}","{""original"": {""A"": ""gpt_5_4_mini_igkf"", ""B"": ""qwen3_8b_igkf""}, ""reversed"": {""A"": ""qwen3_8b_igkf"", ""B"": ""gpt_5_4_mini_igkf""}}",gpt-5.5,TIE,B,TIE,MINI,TIE,False,final_pairwise_graphrag_qwen_vs_mini,2026-07-07T21:34:54.310000+00:00,pairwise_prompt_v1,pairwise_biomedical_rubric_v1,8b8ea355386bb9d6da1a69833170383933b695b8e008d11d8dd207d4a8d5d787
Q017,"{""original_A"": ""qwen3_8b_igkf"", ""original_B"": ""gpt_5_4_mini_igkf""}","{""original"": {""A"": ""qwen3_8b_igkf"", ""B"": ""gpt_5_4_mini_igkf""}, ""reversed"": {""A"": ""gpt_5_4_mini_igkf"", ""B"": ""qwen3_8b_igkf""}}",gpt-5.5,B,A,MINI,MINI,MINI_WIN,False,final_pairwise_graphrag_qwen_vs_mini,2026-07-07T21:34:54.310111+00:00,pairwise_prompt_v1,pairwise_biomedical_rubric_v1,c5d2e95b3902da09a4024f1eaa561152847ad6f2f9d4c29fec6133c183e49bad
Q018,"{""original_A"": ""qwen3_8b_igkf"", ""original_B"": ""gpt_5_4_mini_igkf""}","{""original"": {""A"": ""qwen3_8b_igkf"", ""B"": ""gpt_5_4_mini_igkf""}, ""reversed"": {""A"": ""gpt_5_4_mini_igkf"", ""B"": ""qwen3_8b_igkf""}}",gpt-5.5,A,B,QWEN,QWEN,QWEN_WIN,False,final_pairwise_graphrag_qwen_vs_mini,2026-07-07T21:34:54.310203+00:00,pairwise_prompt_v1,pairwise_biomedical_rubric_v1,a1ebe6b5fd7cca8a8f46a465a2c9c1287e02d60d786fb9ba31bd966993b0b850
Q019,"{""original_A"": ""gpt_5_4_mini_igkf"", ""original_B"": ""qwen3_8b_igkf""}","{""original"": {""A"": ""gpt_5_4_mini_igkf"", ""B"": ""qwen3_8b_igkf""}, ""reversed"": {""A"": ""qwen3_8b_igkf"", ""B"": ""gpt_5_4_mini_igkf""}}",gpt-5.5,A,B,MINI,MINI,MINI_WIN,False,final_pairwise_graphrag_qwen_vs_mini,2026-07-07T21:34:54.310296+00:00,pairwise_prompt_v1,pairwise_biomedical_rubric_v1,ea05e9b7f3b63a19ff16d1bd92afd963fe1f903b4304e7473609a915e67e4135
Q020,"{""original_A"": ""gpt_5_4_mini_igkf"", ""original_B"": ""qwen3_8b_igkf""}","{""original"": {""A"": ""gpt_5_4_mini_igkf"", ""B"": ""qwen3_8b_igkf""}, ""reversed"": {""A"": ""qwen3_8b_igkf"", ""B"": ""gpt_5_4_mini_igkf""}}",gpt-5.5,A,B,MINI,MINI,MINI_WIN,False,final_pairwise_graphrag_qwen_vs_mini,2026-07-07T21:34:54.310390+00:00,pairwise_prompt_v1,pairwise_biomedical_rubric_v1,c9a838c7195abafd6c303c0069f96e828dd0e420c6e8128d30a95b9c8be03011
Q021,"{""original_A"": ""qwen3_8b_igkf"", ""original_B"": ""gpt_5_4_mini_igkf""}","{""original"": {""A"": ""qwen3_8b_igkf"", ""B"": ""gpt_5_4_mini_igkf""}, ""reversed"": {""A"": ""gpt_5_4_mini_igkf"", ""B"": ""qwen3_8b_igkf""}}",gpt-5.5,B,A,MINI,MINI,MINI_WIN,False,final_pairwise_graphrag_qwen_vs_mini,2026-07-07T21:34:54.310484+00:00,pairwise_prompt_v1,pairwise_biomedical_rubric_v1,aa7847eb8cfa967a3df99e94697c1891ac029d10604ce4b9e19c836f0d9b4169
Q022,"{""original_A"": ""gpt_5_4_mini_igkf"", ""original_B"": ""qwen3_8b_igkf""}","{""original"": {""A"": ""gpt_5_4_mini_igkf"", ""B"": ""qwen3_8b_igkf""}, ""reversed"": {""A"": ""qwen3_8b_igkf"", ""B"": ""gpt_5_4_mini_igkf""}}",gpt-5.5,A,B,MINI,MINI,MINI_WIN,False,final_pairwise_graphrag_qwen_vs_mini,2026-07-07T21:34:54.310582+00:00,pairwise_prompt_v1,pairwise_biomedical_rubric_v1,b2148afd2c4f2ee8a49f6d200d7917c2e79ef65acc3f2a4ffbe427a469def3f7
Q023,"{""original_A"": ""qwen3_8b_igkf"", ""original_B"": ""gpt_5_4_mini_igkf""}","{""original"": {""A"": ""qwen3_8b_igkf"", ""B"": ""gpt_5_4_mini_igkf""}, ""reversed"": {""A"": ""gpt_5_4_mini_igkf"", ""B"": ""qwen3_8b_igkf""}}",gpt-5.5,B,A,MINI,MINI,MINI_WIN,False,final_pairwise_graphrag_qwen_vs_mini,2026-07-07T21:34:54.310678+00:00,pairwise_prompt_v1,pairwise_biomedical_rubric_v1,ae6b442bc53a629ec5ab4dfebd90ca65d48b60009be61e0c11221e195710cfde
Q024,"{""original_A"": ""qwen3_8b_igkf"", ""original_B"": ""gpt_5_4_mini_igkf""}","{""original"": {""A"": ""qwen3_8b_igkf"", ""B"": ""gpt_5_4_mini_igkf""}, ""reversed"": {""A"": ""gpt_5_4_mini_igkf"", ""B"": ""qwen3_8b_igkf""}}",gpt-5.5,B,A,MINI,MINI,MINI_WIN,False,final_pairwise_graphrag_qwen_vs_mini,2026-07-07T21:34:54.310770+00:00,pairwise_prompt_v1,pairwise_biomedical_rubric_v1,3976d6b505e7dc2da80cc6fc24774ee3a6b3b00655b348e70e6eb1b9196d69f4
Q025,"{""original_A"": ""qwen3_8b_igkf"", ""original_B"": ""gpt_5_4_mini_igkf""}","{""original"": {""A"": ""qwen3_8b_igkf"", ""B"": ""gpt_5_4_mini_igkf""}, ""reversed"": {""A"": ""gpt_5_4_mini_igkf"", ""B"": ""qwen3_8b_igkf""}}",gpt-5.5,B,A,MINI,MINI,MINI_WIN,False,final_pairwise_graphrag_qwen_vs_mini,2026-07-07T21:34:54.310862+00:00,pairwise_prompt_v1,pairwise_biomedical_rubric_v1,0a1c3dcb3ec24be969412c983bc4b9a1039f2fc31b660f8b7754de7bec1e3aa0
Q026,"{""original_A"": ""gpt_5_4_mini_igkf"", ""original_B"": ""qwen3_8b_igkf""}","{""original"": {""A"": ""gpt_5_4_mini_igkf"", ""B"": ""qwen3_8b_igkf""}, ""reversed"": {""A"": ""qwen3_8b_igkf"", ""B"": ""gpt_5_4_mini_igkf""}}",gpt-5.5,TIE,B,TIE,MINI,TIE,False,final_pairwise_graphrag_qwen_vs_mini,2026-07-07T21:34:54.310954+00:00,pairwise_prompt_v1,pairwise_biomedical_rubric_v1,5fa6b91ce85f8348e57ddc02dc85cac9ed808ca1e0de54d859ccf92eb2af2970
Q027,"{""original_A"": ""gpt_5_4_mini_igkf"", ""original_B"": ""qwen3_8b_igkf""}","{""original"": {""A"": ""gpt_5_4_mini_igkf"", ""B"": ""qwen3_8b_igkf""}, ""reversed"": {""A"": ""qwen3_8b_igkf"", ""B"": ""gpt_5_4_mini_igkf""}}",gpt-5.5,A,B,MINI,MINI,MINI_WIN,False,final_pairwise_graphrag_qwen_vs_mini,2026-07-07T21:34:54.311044+00:00,pairwise_prompt_v1,pairwise_biomedical_rubric_v1,761d62cbf5901556816b484973f1e5a25eeb1c53a4dced112c4507858a280bb7
Q028,"{""original_A"": ""gpt_5_4_mini_igkf"", ""original_B"": ""qwen3_8b_igkf""}","{""original"": {""A"": ""gpt_5_4_mini_igkf"", ""B"": ""qwen3_8b_igkf""}, ""reversed"": {""A"": ""qwen3_8b_igkf"", ""B"": ""gpt_5_4_mini_igkf""}}",gpt-5.5,A,B,MINI,MINI,MINI_WIN,False,final_pairwise_graphrag_qwen_vs_mini,2026-07-07T21:34:54.311136+00:00,pairwise_prompt_v1,pairwise_biomedical_rubric_v1,47f0c6bbef31dc3e1887e8da0c24aa0aebb72f49ca18fa0676c303097f8ccf5d
Q029,"{""original_A"": ""qwen3_8b_igkf"", ""original_B"": ""gpt_5_4_mini_igkf""}","{""original"": {""A"": ""qwen3_8b_igkf"", ""B"": ""gpt_5_4_mini_igkf""}, ""reversed"": {""A"": ""gpt_5_4_mini_igkf"", ""B"": ""qwen3_8b_igkf""}}",gpt-5.5,B,A,MINI,MINI,MINI_WIN,False,final_pairwise_graphrag_qwen_vs_mini,2026-07-07T21:34:54.311228+00:00,pairwise_prompt_v1,pairwise_biomedical_rubric_v1,f433ae1cb3139fccef5b61cbb1316dd7be8d1c52b2d50c8512eb7fa4d27d80cf
Q030,"{""original_A"": ""gpt_5_4_mini_igkf"", ""original_B"": ""qwen3_8b_igkf""}","{""original"": {""A"": ""gpt_5_4_mini_igkf"", ""B"": ""qwen3_8b_igkf""}, ""reversed"": {""A"": ""qwen3_8b_igkf"", ""B"": ""gpt_5_4_mini_igkf""}}",gpt-5.5,A,B,MINI,MINI,MINI_WIN,False,final_pairwise_graphrag_qwen_vs_mini,2026-07-07T21:34:54.311321+00:00,pairwise_prompt_v1,pairwise_biomedical_rubric_v1,61b55f594358d99ab0503f474ad1b249ac47dac83ae880926c5d1d0259938445
Q031,"{""original_A"": ""gpt_5_4_mini_igkf"", ""original_B"": ""qwen3_8b_igkf""}","{""original"": {""A"": ""gpt_5_4_mini_igkf"", ""B"": ""qwen3_8b_igkf""}, ""reversed"": {""A"": ""qwen3_8b_igkf"", ""B"": ""gpt_5_4_mini_igkf""}}",gpt-5.5,A,B,MINI,MINI,MINI_WIN,False,final_pairwise_graphrag_qwen_vs_mini,2026-07-07T21:34:54.311412+00:00,pairwise_prompt_v1,pairwise_biomedical_rubric_v1,881e1eb32bb3f5244451b42eba773e312022e77176fdfb7963cf0df896029ceb
Q032,"{""original_A"": ""gpt_5_4_mini_igkf"", ""original_B"": ""qwen3_8b_igkf""}","{""original"": {""A"": ""gpt_5_4_mini_igkf"", ""B"": ""qwen3_8b_igkf""}, ""reversed"": {""A"": ""qwen3_8b_igkf"", ""B"": ""gpt_5_4_mini_igkf""}}",gpt-5.5,B,A,QWEN,QWEN,QWEN_WIN,False,final_pairwise_graphrag_qwen_vs_mini,2026-07-07T21:34:54.311504+00:00,pairwise_prompt_v1,pairwise_biomedical_rubric_v1,d225bcfd8d46f830d2ec6d32340c2458d1a1270ba0ca00fe7ea19f549fa6d211
Q033,"{""original_A"": ""gpt_5_4_mini_igkf"", ""original_B"": ""qwen3_8b_igkf""}","{""original"": {""A"": ""gpt_5_4_mini_igkf"", ""B"": ""qwen3_8b_igkf""}, ""reversed"": {""A"": ""qwen3_8b_igkf"", ""B"": ""gpt_5_4_mini_igkf""}}",gpt-5.5,A,B,MINI,MINI,MINI_WIN,False,final_pairwise_graphrag_qwen_vs_mini,2026-07-07T21:34:54.311599+00:00,pairwise_prompt_v1,pairwise_biomedical_rubric_v1,efa7e4f86836cf917259ad319092ab9c09da666de1dd7eb3adbd948d065e56bb
Q034,"{""original_A"": ""gpt_5_4_mini_igkf"", ""original_B"": ""qwen3_8b_igkf""}","{""original"": {""A"": ""gpt_5_4_mini_igkf"", ""B"": ""qwen3_8b_igkf""}, ""reversed"": {""A"": ""qwen3_8b_igkf"", ""B"": ""gpt_5_4_mini_igkf""}}",gpt-5.5,A,B,MINI,MINI,MINI_WIN,False,final_pairwise_graphrag_qwen_vs_mini,2026-07-07T21:34:54.311705+00:00,pairwise_prompt_v1,pairwise_biomedical_rubric_v1,67bf090a2c7bbb4171709520a92660e54e0dd19717fa5816c3e157caba1cec65
Q035,"{""original_A"": ""qwen3_8b_igkf"", ""original_B"": ""gpt_5_4_mini_igkf""}","{""original"": {""A"": ""qwen3_8b_igkf"", ""B"": ""gpt_5_4_mini_igkf""}, ""reversed"": {""A"": ""gpt_5_4_mini_igkf"", ""B"": ""qwen3_8b_igkf""}}",gpt-5.5,B,A,MINI,MINI,MINI_WIN,False,final_pairwise_graphrag_qwen_vs_mini,2026-07-07T21:34:54.311799+00:00,pairwise_prompt_v1,pairwise_biomedical_rubric_v1,bc159908978ff66d006bd7b0be60ca9ca0cc419500f8e2a12d075ca8f9060891
Q036,"{""original_A"": ""qwen3_8b_igkf"", ""original_B"": ""gpt_5_4_mini_igkf""}","{""original"": {""A"": ""qwen3_8b_igkf"", ""B"": ""gpt_5_4_mini_igkf""}, ""reversed"": {""A"": ""gpt_5_4_mini_igkf"", ""B"": ""qwen3_8b_igkf""}}",gpt-5.5,B,A,MINI,MINI,MINI_WIN,False,final_pairwise_graphrag_qwen_vs_mini,2026-07-07T21:34:54.311894+00:00,pairwise_prompt_v1,pairwise_biomedical_rubric_v1,87d35f0aca00b317a99cfe0aef04df64c83cfa3fe0b7877cbd6167b1c7904631
Q037,"{""original_A"": ""qwen3_8b_igkf"", ""original_B"": ""gpt_5_4_mini_igkf""}","{""original"": {""A"": ""qwen3_8b_igkf"", ""B"": ""gpt_5_4_mini_igkf""}, ""reversed"": {""A"": ""gpt_5_4_mini_igkf"", ""B"": ""qwen3_8b_igkf""}}",gpt-5.5,A,B,QWEN,QWEN,QWEN_WIN,False,final_pairwise_graphrag_qwen_vs_mini,2026-07-07T21:34:54.311986+00:00,pairwise_prompt_v1,pairwise_biomedical_rubric_v1,84501987d91f6bae75953913611d21ee8229a0f86d3f6a10a426bc36aafa34d1
Q038,"{""original_A"": ""qwen3_8b_igkf"", ""original_B"": ""gpt_5_4_mini_igkf""}","{""original"": {""A"": ""qwen3_8b_igkf"", ""B"": ""gpt_5_4_mini_igkf""}, ""reversed"": {""A"": ""gpt_5_4_mini_igkf"", ""B"": ""qwen3_8b_igkf""}}",gpt-5.5,A,B,QWEN,QWEN,QWEN_WIN,False,final_pairwise_graphrag_qwen_vs_mini,2026-07-07T21:34:54.312078+00:00,pairwise_prompt_v1,pairwise_biomedical_rubric_v1,6db6fd8196a1429aa2405d1c639a3a93e128367e213ddcbdb75f10f188d8e4bc
Q039,"{""original_A"": ""qwen3_8b_igkf"", ""original_B"": ""gpt_5_4_mini_igkf""}","{""original"": {""A"": ""qwen3_8b_igkf"", ""B"": ""gpt_5_4_mini_igkf""}, ""reversed"": {""A"": ""gpt_5_4_mini_igkf"", ""B"": ""qwen3_8b_igkf""}}",gpt-5.5,B,A,MINI,MINI,MINI_WIN,False,final_pairwise_graphrag_qwen_vs_mini,2026-07-07T21:34:54.312171+00:00,pairwise_prompt_v1,pairwise_biomedical_rubric_v1,c3154f65276efac994de352729803c974a6ca7ad789c7e735a57e657db894c57
Q040,"{""original_A"": ""qwen3_8b_igkf"", ""original_B"": ""gpt_5_4_mini_igkf""}","{""original"": {""A"": ""qwen3_8b_igkf"", ""B"": ""gpt_5_4_mini_igkf""}, ""reversed"": {""A"": ""gpt_5_4_mini_igkf"", ""B"": ""qwen3_8b_igkf""}}",gpt-5.5,A,B,QWEN,QWEN,QWEN_WIN,False,final_pairwise_graphrag_qwen_vs_mini,2026-07-07T21:34:54.312263+00:00,pairwise_prompt_v1,pairwise_biomedical_rubric_v1,ba9ed0c57cc7f4754b03cefabbc04df7ecb9db30f1d1cfbb8510e8346c86f668
Q041,"{""original_A"": ""qwen3_8b_igkf"", ""original_B"": ""gpt_5_4_mini_igkf""}","{""original"": {""A"": ""qwen3_8b_igkf"", ""B"": ""gpt_5_4_mini_igkf""}, ""reversed"": {""A"": ""gpt_5_4_mini_igkf"", ""B"": ""qwen3_8b_igkf""}}",gpt-5.5,A,B,QWEN,QWEN,QWEN_WIN,False,final_pairwise_graphrag_qwen_vs_mini,2026-07-07T21:34:54.312355+00:00,pairwise_prompt_v1,pairwise_biomedical_rubric_v1,51168c46290c2a974ffc45c15996578b7398a10de4300d0aead024705d7066ad
Q042,"{""original_A"": ""gpt_5_4_mini_igkf"", ""original_B"": ""qwen3_8b_igkf""}","{""original"": {""A"": ""gpt_5_4_mini_igkf"", ""B"": ""qwen3_8b_igkf""}, ""reversed"": {""A"": ""qwen3_8b_igkf"", ""B"": ""gpt_5_4_mini_igkf""}}",gpt-5.5,TIE,B,TIE,MINI,TIE,False,final_pairwise_graphrag_qwen_vs_mini,2026-07-07T21:34:54.312447+00:00,pairwise_prompt_v1,pairwise_biomedical_rubric_v1,3487979453aae6ca9d7e0ee70aac5b66190563700a613dc93bb28316ac22a555
Q043,"{""original_A"": ""qwen3_8b_igkf"", ""original_B"": ""gpt_5_4_mini_igkf""}","{""original"": {""A"": ""qwen3_8b_igkf"", ""B"": ""gpt_5_4_mini_igkf""}, ""reversed"": {""A"": ""gpt_5_4_mini_igkf"", ""B"": ""qwen3_8b_igkf""}}",gpt-5.5,B,A,MINI,MINI,MINI_WIN,False,final_pairwise_graphrag_qwen_vs_mini,2026-07-07T21:34:54.312541+00:00,pairwise_prompt_v1,pairwise_biomedical_rubric_v1,02ddbd78107a2e889ab5f0f41d74d481e79b419c4ae2529a7db9ec5bc9df636d
Q044,"{""original_A"": ""qwen3_8b_igkf"", ""original_B"": ""gpt_5_4_mini_igkf""}","{""original"": {""A"": ""qwen3_8b_igkf"", ""B"": ""gpt_5_4_mini_igkf""}, ""reversed"": {""A"": ""gpt_5_4_mini_igkf"", ""B"": ""qwen3_8b_igkf""}}",gpt-5.5,A,B,QWEN,QWEN,QWEN_WIN,False,final_pairwise_graphrag_qwen_vs_mini,2026-07-07T21:34:54.312632+00:00,pairwise_prompt_v1,pairwise_biomedical_rubric_v1,6494dc980d8eef1ad93bca1dd92b4b46989a9640a92c9ce4f33594f4469ce386
Q045,"{""original_A"": ""gpt_5_4_mini_igkf"", ""original_B"": ""qwen3_8b_igkf""}","{""original"": {""A"": ""gpt_5_4_mini_igkf"", ""B"": ""qwen3_8b_igkf""}, ""reversed"": {""A"": ""qwen3_8b_igkf"", ""B"": ""gpt_5_4_mini_igkf""}}",gpt-5.5,A,A,MINI,QWEN,POSITION_UNSTABLE,True,final_pairwise_graphrag_qwen_vs_mini,2026-07-07T21:34:54.312731+00:00,pairwise_prompt_v1,pairwise_biomedical_rubric_v1,c88b70cfeda4ff61a0b7776582773b8bed399818827ee3c5b626654f0334d796
