category,condition,N,median_answer_relevance,iqr_answer_relevance,mean_answer_relevance,sd_answer_relevance,median_biomedical_factual_correctness,iqr_biomedical_factual_correctness,mean_biomedical_factual_correctness,sd_biomedical_factual_correctness,median_completeness,iqr_completeness,mean_completeness,sd_completeness,median_uncertainty_abstention,iqr_uncertainty_abstention,mean_uncertainty_abstention,sd_uncertainty_abstention
literature_synthesis,qwen3_8b_baseline,6,4.0,0.75,3.6666666666666665,0.5163977794943222,2.5,1.75,2.333333333333333,1.2110601416389968,2.0,0.75,2.333333333333333,0.5163977794943222,3.0,1.5,2.833333333333333,1.1690451944500122
literature_synthesis,qwen3_8b_igkf,6,5.0,0.0,4.833333333333333,0.408248290463863,4.5,1.0,4.5,0.5477225575051661,4.5,1.0,4.5,0.5477225575051661,5.0,0.0,4.833333333333333,0.408248290463863
multi_hop_reasoning,gpt_5_4_mini_baseline,16,5.0,1.0,4.625,0.5,2.0,1.5,2.8125,1.42448821218944,3.0,1.25,3.1875,0.9105858919765156,2.0,1.5,2.5625,1.459166428707386
multi_hop_reasoning,gpt_5_4_mini_igkf,16,5.0,0.0,4.9375,0.25,5.0,0.0,4.8125,0.5439056290693574,5.0,0.0,4.8125,0.4031128874149275,5.0,0.0,4.875,0.5
multi_hop_reasoning,qwen3_8b_baseline,16,4.5,1.0,4.3125,0.7932002689527196,3.0,2.25,2.5625,1.3149778198382918,3.0,2.0,2.875,0.8850612031567836,2.0,2.25,2.375,1.4548768561863463
multi_hop_reasoning,qwen3_8b_igkf,16,5.0,0.0,4.8125,0.4031128874149275,4.0,1.0,4.1875,0.9105858919765156,4.0,1.0,4.125,0.7187952884282609,5.0,1.25,4.25,1.0
pathway_reasoning,gpt_5_4_mini_baseline,19,4.0,1.5,3.631578947368421,1.1160708020048369,3.0,1.0,2.8947368421052637,0.9941348467724342,2.0,1.0,2.5789473684210527,1.0173926082384548,2.0,1.5,2.263157894736842,1.1470786693528088
pathway_reasoning,gpt_5_4_mini_igkf,19,5.0,0.0,5.0,0.0,5.0,0.0,4.894736842105263,0.3153017676423058,5.0,0.0,4.842105263157895,0.3746343246326776,5.0,0.0,5.0,0.0
pathway_reasoning,qwen3_8b_baseline,19,4.0,1.5,3.684210526315789,1.0568628408301075,2.0,1.5,2.3157894736842106,1.1081832770072813,2.0,1.0,2.3684210526315788,1.065130472748108,1.0,1.0,1.736842105263158,1.0457376590053495
pathway_reasoning,qwen3_8b_igkf,19,5.0,1.0,4.578947368421052,0.606976978666884,4.0,1.5,4.105263157894737,1.0485300208760655,4.0,0.5,3.842105263157895,0.8983415518941831,5.0,2.5,3.842105263157895,1.5004872502970803
regulatory_reasoning,gpt_5_4_mini_baseline,8,4.0,0.25,4.125,0.6408699444616557,3.0,3.0,2.75,1.5811388300841898,3.0,1.25,2.875,0.8345229603962802,3.0,3.25,2.875,1.7268882005337975
regulatory_reasoning,gpt_5_4_mini_igkf,8,5.0,0.0,5.0,0.0,5.0,0.25,4.625,0.7440238091428449,5.0,0.25,4.75,0.4629100498862757,5.0,0.0,4.75,0.7071067811865476
regulatory_reasoning,qwen3_8b_baseline,8,3.5,2.25,3.375,1.3024701806293193,2.5,2.5,2.625,1.685018016012207,2.5,1.25,2.875,1.1259916264596033,2.5,3.25,2.75,1.7525491637693282
regulatory_reasoning,qwen3_8b_igkf,8,5.0,1.0,4.5,0.7559289460184544,5.0,2.25,3.875,1.6420805617960927,4.5,1.25,4.125,1.1259916264596033,5.0,1.25,4.125,1.4577379737113252
therapeutic_reasoning,gpt_5_4_mini_baseline,18,5.0,1.0,4.111111111111111,1.4095843729891318,4.0,1.75,3.6666666666666665,1.0846522890932808,4.0,1.0,3.4444444444444446,1.293523333527109,4.0,1.5,3.8333333333333335,1.0431851677040116
therapeutic_reasoning,gpt_5_4_mini_igkf,18,5.0,0.0,4.888888888888889,0.4714045207910317,5.0,0.0,4.888888888888889,0.3233808333817772,5.0,0.0,4.722222222222222,0.7519039015221181,5.0,0.0,4.944444444444445,0.2357022603955158
therapeutic_reasoning,qwen3_8b_baseline,18,4.0,2.0,3.7777777777777777,1.308594016742242,3.0,0.75,3.1666666666666665,0.7859052479933758,3.0,1.0,3.2222222222222223,1.0032626514091003,3.0,1.75,3.1666666666666665,0.9235481451827988
therapeutic_reasoning,qwen3_8b_igkf,18,5.0,0.0,4.722222222222222,0.7519039015221181,4.0,1.0,4.222222222222222,0.7320844981409595,4.0,1.0,4.055555555555555,0.9983646759294876,5.0,1.0,4.166666666666667,1.1504474832710556
variant_interpretation,gpt_5_4_mini_baseline,57,3.0,2.0,3.3684210526315788,1.1593036540984485,3.0,2.0,3.087719298245614,1.2142119983521642,2.0,2.0,2.1578947368421053,0.9962335082737976,4.0,3.0,3.421052631578948,1.4632079290411948
variant_interpretation,gpt_5_4_mini_igkf,57,5.0,0.0,4.947368421052632,0.2940512972485137,5.0,0.0,4.807017543859649,0.5489794587371082,5.0,0.0,4.807017543859649,0.5489794587371082,5.0,0.0,4.842105263157895,0.5274424032269348
variant_interpretation,qwen3_8b_baseline,57,3.0,1.0,2.8947368421052637,0.8594892695730867,1.0,3.0,2.1052631578947367,1.4599927901768628,2.0,1.0,1.824561403508772,0.6579949798316923,2.0,3.0,2.508771929824561,1.5937691961593958
variant_interpretation,qwen3_8b_igkf,57,5.0,0.0,4.719298245614035,0.6197460875492329,5.0,1.0,4.385964912280702,0.9956043743251828,4.0,1.0,4.140350877192983,0.9149277194563372,5.0,1.0,4.43859649122807,1.018008277044114
