question_id,condition,category,answerability,expected_behavior,manual_review_required,answer_relevance,biomedical_factual_correctness,completeness,uncertainty_abstention
Q012,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,2.0,4.0,2.0,5.0
Q012,qwen3_8b_graph_only,variant_interpretation,graph_direct,answer,False,5.0,5.0,4.0,5.0
Q012,qwen3_8b_literature_only,variant_interpretation,graph_direct,answer,False,4.0,5.0,4.0,5.0
Q012,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,5.0,5.0,4.0,5.0
Q013,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,2.0,1.0,2.0,1.0
Q013,qwen3_8b_graph_only,variant_interpretation,graph_direct,answer,False,5.0,5.0,4.0,5.0
Q013,qwen3_8b_literature_only,variant_interpretation,graph_direct,answer,False,4.0,5.0,3.0,5.0
Q013,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,5.0,5.0,5.0,5.0
Q014,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,3.0,4.0,3.0,5.0
Q014,qwen3_8b_graph_only,variant_interpretation,graph_direct,answer,False,3.0,4.0,2.0,4.0
Q014,qwen3_8b_literature_only,variant_interpretation,graph_direct,answer,False,5.0,5.0,5.0,5.0
Q014,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,5.0,5.0,4.0,5.0
Q015,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,3.0,1.0,2.0,1.0
Q015,qwen3_8b_graph_only,variant_interpretation,graph_direct,answer,False,4.0,3.0,4.0,2.0
Q015,qwen3_8b_literature_only,variant_interpretation,graph_direct,answer,False,4.0,4.0,3.0,5.0
Q015,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,4.0,3.0,4.0,3.0
Q016,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,2.0,3.0,1.0,2.0
Q016,qwen3_8b_graph_only,variant_interpretation,graph_direct,answer,False,5.0,5.0,5.0,5.0
Q016,qwen3_8b_literature_only,variant_interpretation,graph_direct,answer,False,3.0,1.0,1.0,2.0
Q016,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,5.0,5.0,5.0,5.0
Q017,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,3.0,1.0,2.0,2.0
Q017,qwen3_8b_graph_only,variant_interpretation,graph_direct,answer,False,3.0,2.0,2.0,2.0
Q017,qwen3_8b_literature_only,variant_interpretation,graph_direct,answer,False,3.0,2.0,2.0,3.0
Q017,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,3.0,2.0,2.0,1.0
Q018,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,3.0,4.0,2.0,4.0
Q018,qwen3_8b_graph_only,variant_interpretation,graph_direct,answer,False,5.0,5.0,4.0,5.0
Q018,qwen3_8b_literature_only,variant_interpretation,graph_direct,answer,False,5.0,5.0,4.0,5.0
Q018,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,5.0,5.0,5.0,5.0
Q019,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,2.0,2.0,1.0,2.0
Q019,qwen3_8b_graph_only,variant_interpretation,graph_direct,answer,False,5.0,5.0,5.0,5.0
Q019,qwen3_8b_literature_only,variant_interpretation,graph_direct,answer,False,3.0,1.0,1.0,2.0
Q019,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,5.0,4.0,5.0,5.0
Q020,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,3.0,1.0,1.0,1.0
Q020,qwen3_8b_graph_only,variant_interpretation,graph_direct,answer,False,5.0,4.0,4.0,3.0
Q020,qwen3_8b_literature_only,variant_interpretation,graph_direct,answer,False,2.0,1.0,1.0,2.0
Q020,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,5.0,4.0,4.0,3.0
Q021,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,4.0,5.0,3.0,5.0
Q021,qwen3_8b_graph_only,variant_interpretation,graph_direct,answer,False,5.0,5.0,5.0,5.0
Q021,qwen3_8b_literature_only,variant_interpretation,graph_direct,answer,False,5.0,5.0,5.0,5.0
Q021,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,5.0,5.0,5.0,5.0
Q022,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,4.0,2.0,2.0,3.0
Q022,qwen3_8b_graph_only,variant_interpretation,graph_direct,answer,False,5.0,4.0,5.0,4.0
Q022,qwen3_8b_literature_only,variant_interpretation,graph_direct,answer,False,3.0,3.0,2.0,4.0
Q022,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,5.0,5.0,4.0,5.0
Q023,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,2.0,3.0,1.0,2.0
Q023,qwen3_8b_graph_only,variant_interpretation,graph_direct,answer,False,5.0,5.0,5.0,5.0
Q023,qwen3_8b_literature_only,variant_interpretation,graph_direct,answer,False,3.0,1.0,1.0,2.0
Q023,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,5.0,5.0,5.0,5.0
Q024,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,3.0,1.0,2.0,2.0
Q024,qwen3_8b_graph_only,variant_interpretation,graph_direct,answer,False,5.0,5.0,5.0,5.0
Q024,qwen3_8b_literature_only,variant_interpretation,graph_direct,answer,False,4.0,5.0,3.0,5.0
Q024,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,5.0,5.0,5.0,5.0
Q025,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,2.0,3.0,2.0,4.0
Q025,qwen3_8b_graph_only,variant_interpretation,graph_direct,answer,False,4.0,3.0,3.0,2.0
Q025,qwen3_8b_literature_only,variant_interpretation,graph_direct,answer,False,4.0,2.0,2.0,2.0
Q025,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,5.0,5.0,4.0,5.0
Q026,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,3.0,1.0,2.0,2.0
Q026,qwen3_8b_graph_only,variant_interpretation,graph_direct,answer,False,5.0,5.0,5.0,5.0
Q026,qwen3_8b_literature_only,variant_interpretation,graph_direct,answer,False,4.0,4.0,4.0,5.0
Q026,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,5.0,5.0,5.0,5.0
Q027,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,2.0,1.0,1.0,1.0
Q027,qwen3_8b_graph_only,variant_interpretation,graph_direct,answer,False,5.0,5.0,4.0,4.0
Q027,qwen3_8b_literature_only,variant_interpretation,graph_direct,answer,False,2.0,2.0,1.0,2.0
Q027,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,5.0,4.0,4.0,3.0
Q028,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,3.0,5.0,2.0,5.0
Q028,qwen3_8b_graph_only,variant_interpretation,graph_direct,answer,False,5.0,2.0,3.0,1.0
Q028,qwen3_8b_literature_only,variant_interpretation,graph_direct,answer,False,5.0,4.0,4.0,4.0
Q028,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,5.0,5.0,5.0,5.0
Q029,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,4.0,1.0,1.0,1.0
Q029,qwen3_8b_graph_only,variant_interpretation,graph_direct,answer,False,5.0,5.0,4.0,4.0
Q029,qwen3_8b_literature_only,variant_interpretation,graph_direct,answer,False,3.0,2.0,1.0,3.0
Q029,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,5.0,5.0,5.0,5.0
Q030,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,2.0,1.0,1.0,1.0
Q030,qwen3_8b_graph_only,variant_interpretation,graph_direct,answer,False,5.0,5.0,5.0,5.0
Q030,qwen3_8b_literature_only,variant_interpretation,graph_direct,answer,False,4.0,1.0,1.0,2.0
Q030,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,5.0,5.0,5.0,5.0
Q031,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,2.0,1.0,1.0,1.0
Q031,qwen3_8b_graph_only,variant_interpretation,graph_direct,answer,False,4.0,2.0,2.0,2.0
Q031,qwen3_8b_literature_only,variant_interpretation,graph_direct,answer,False,2.0,2.0,1.0,3.0
Q031,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,3.0,3.0,2.0,4.0
Q032,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,3.0,1.0,2.0,2.0
Q032,qwen3_8b_graph_only,variant_interpretation,graph_direct,answer,False,5.0,4.0,3.0,3.0
Q032,qwen3_8b_literature_only,variant_interpretation,graph_direct,answer,False,4.0,2.0,2.0,4.0
Q032,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,5.0,5.0,5.0,5.0
Q033,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,3.0,1.0,1.0,1.0
Q033,qwen3_8b_graph_only,variant_interpretation,graph_direct,answer,False,5.0,4.0,3.0,5.0
Q033,qwen3_8b_literature_only,variant_interpretation,graph_direct,answer,False,3.0,1.0,1.0,2.0
Q033,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,5.0,5.0,5.0,5.0
Q034,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,3.0,1.0,1.0,1.0
Q034,qwen3_8b_graph_only,variant_interpretation,graph_direct,answer,False,5.0,4.0,4.0,4.0
Q034,qwen3_8b_literature_only,variant_interpretation,graph_direct,answer,False,2.0,2.0,1.0,3.0
Q034,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,5.0,4.0,4.0,4.0
Q035,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,3.0,4.0,2.0,5.0
Q035,qwen3_8b_graph_only,variant_interpretation,graph_direct,answer,False,5.0,5.0,4.0,5.0
Q035,qwen3_8b_literature_only,variant_interpretation,graph_direct,answer,False,4.0,4.0,4.0,5.0
Q035,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,5.0,5.0,5.0,5.0
Q036,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,3.0,1.0,2.0,1.0
Q036,qwen3_8b_graph_only,variant_interpretation,graph_direct,answer,False,5.0,5.0,4.0,5.0
Q036,qwen3_8b_literature_only,variant_interpretation,graph_direct,answer,False,5.0,5.0,5.0,5.0
Q036,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,5.0,5.0,4.0,5.0
Q037,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,2.0,1.0,1.0,2.0
Q037,qwen3_8b_graph_only,variant_interpretation,graph_direct,answer,False,5.0,5.0,5.0,5.0
Q037,qwen3_8b_literature_only,variant_interpretation,graph_direct,answer,False,5.0,5.0,4.0,5.0
Q037,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,5.0,5.0,4.0,5.0
Q038,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,3.0,1.0,2.0,2.0
Q038,qwen3_8b_graph_only,variant_interpretation,graph_direct,answer,False,5.0,5.0,5.0,5.0
Q038,qwen3_8b_literature_only,variant_interpretation,graph_direct,answer,False,5.0,5.0,4.0,5.0
Q038,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,5.0,5.0,5.0,5.0
Q039,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,3.0,4.0,2.0,5.0
Q039,qwen3_8b_graph_only,variant_interpretation,graph_direct,answer,False,4.0,5.0,3.0,5.0
Q039,qwen3_8b_literature_only,variant_interpretation,graph_direct,answer,False,5.0,5.0,5.0,5.0
Q039,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,5.0,5.0,4.0,5.0
Q040,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,3.0,4.0,2.0,5.0
Q040,qwen3_8b_graph_only,variant_interpretation,graph_direct,answer,False,5.0,5.0,5.0,5.0
Q040,qwen3_8b_literature_only,variant_interpretation,graph_direct,answer,False,4.0,5.0,4.0,5.0
Q040,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,5.0,5.0,4.0,5.0
Q041,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,2.0,1.0,2.0,1.0
Q041,qwen3_8b_graph_only,variant_interpretation,graph_direct,answer,False,5.0,5.0,4.0,5.0
Q041,qwen3_8b_literature_only,variant_interpretation,graph_direct,answer,False,4.0,5.0,3.0,5.0
Q041,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,5.0,5.0,4.0,5.0
Q042,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,4.0,5.0,3.0,5.0
Q042,qwen3_8b_graph_only,variant_interpretation,graph_direct,answer,False,3.0,4.0,2.0,4.0
Q042,qwen3_8b_literature_only,variant_interpretation,graph_direct,answer,False,5.0,5.0,5.0,5.0
Q042,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,5.0,5.0,5.0,5.0
Q043,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,5.0,1.0,2.0,1.0
Q043,qwen3_8b_graph_only,variant_interpretation,graph_direct,answer,False,5.0,5.0,4.0,5.0
Q043,qwen3_8b_literature_only,variant_interpretation,graph_direct,answer,False,5.0,5.0,5.0,5.0
Q043,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,5.0,5.0,4.0,5.0
Q044,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,2.0,1.0,1.0,1.0
Q044,qwen3_8b_graph_only,variant_interpretation,graph_direct,answer,False,5.0,5.0,5.0,5.0
Q044,qwen3_8b_literature_only,variant_interpretation,graph_direct,answer,False,5.0,4.0,4.0,5.0
Q044,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,4.0,2.0,2.0,4.0
Q045,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,4.0,1.0,3.0,3.0
Q045,qwen3_8b_graph_only,variant_interpretation,graph_direct,answer,False,5.0,5.0,5.0,5.0
Q045,qwen3_8b_literature_only,variant_interpretation,graph_direct,answer,False,5.0,5.0,4.0,5.0
Q045,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,5.0,5.0,4.0,5.0
Q046,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,3.0,5.0,2.0,5.0
Q046,qwen3_8b_graph_only,variant_interpretation,graph_direct,answer,False,4.0,5.0,3.0,5.0
Q046,qwen3_8b_literature_only,variant_interpretation,graph_direct,answer,False,5.0,5.0,5.0,5.0
Q046,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,5.0,5.0,4.0,5.0
Q047,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,3.0,4.0,3.0,5.0
Q047,qwen3_8b_graph_only,variant_interpretation,graph_direct,answer,False,5.0,5.0,4.0,5.0
Q047,qwen3_8b_literature_only,variant_interpretation,graph_direct,answer,False,5.0,5.0,4.0,5.0
Q047,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,5.0,5.0,5.0,5.0
Q048,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,3.0,1.0,2.0,1.0
Q048,qwen3_8b_graph_only,variant_interpretation,graph_direct,answer,False,5.0,5.0,5.0,5.0
Q048,qwen3_8b_literature_only,variant_interpretation,graph_direct,answer,False,4.0,5.0,4.0,5.0
Q048,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,3.0,4.0,2.0,5.0
Q049,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,3.0,4.0,2.0,5.0
Q049,qwen3_8b_graph_only,variant_interpretation,graph_direct,answer,False,3.0,4.0,2.0,4.0
Q049,qwen3_8b_literature_only,variant_interpretation,graph_direct,answer,False,5.0,5.0,5.0,5.0
Q049,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,5.0,5.0,4.0,5.0
Q050,qwen3_8b_baseline,gene_interpretation,graph_plus_literature,answer_with_qualification,False,5.0,3.0,3.0,1.0
Q050,qwen3_8b_graph_only,gene_interpretation,graph_plus_literature,answer_with_qualification,False,5.0,5.0,5.0,5.0
Q050,qwen3_8b_literature_only,gene_interpretation,graph_plus_literature,answer_with_qualification,False,5.0,4.0,4.0,5.0
Q050,qwen3_8b_igkf,gene_interpretation,graph_plus_literature,answer_with_qualification,False,5.0,5.0,4.0,5.0
Q051,qwen3_8b_baseline,gene_interpretation,graph_plus_literature,answer_with_qualification,False,5.0,2.0,4.0,1.0
Q051,qwen3_8b_graph_only,gene_interpretation,graph_plus_literature,answer_with_qualification,False,4.0,5.0,4.0,5.0
Q051,qwen3_8b_literature_only,gene_interpretation,graph_plus_literature,answer_with_qualification,False,5.0,2.0,3.0,1.0
Q051,qwen3_8b_igkf,gene_interpretation,graph_plus_literature,answer_with_qualification,False,5.0,4.0,4.0,4.0
Q052,qwen3_8b_baseline,gene_interpretation,graph_plus_literature,answer_with_qualification,False,4.0,5.0,3.0,5.0
Q052,qwen3_8b_graph_only,gene_interpretation,graph_plus_literature,answer_with_qualification,False,5.0,5.0,4.0,5.0
Q052,qwen3_8b_literature_only,gene_interpretation,graph_plus_literature,answer_with_qualification,False,3.0,2.0,2.0,3.0
Q052,qwen3_8b_igkf,gene_interpretation,graph_plus_literature,answer_with_qualification,False,3.0,3.0,3.0,4.0
Q053,qwen3_8b_baseline,gene_interpretation,graph_plus_literature,answer_with_qualification,False,5.0,2.0,2.0,1.0
Q053,qwen3_8b_graph_only,gene_interpretation,graph_plus_literature,answer_with_qualification,False,5.0,5.0,5.0,5.0
Q053,qwen3_8b_literature_only,gene_interpretation,graph_plus_literature,answer_with_qualification,False,2.0,1.0,2.0,1.0
Q053,qwen3_8b_igkf,gene_interpretation,graph_plus_literature,answer_with_qualification,False,5.0,5.0,4.0,5.0
Q054,qwen3_8b_baseline,gene_interpretation,graph_plus_literature,answer_with_qualification,False,2.0,2.0,2.0,2.0
Q054,qwen3_8b_graph_only,gene_interpretation,graph_plus_literature,answer_with_qualification,False,5.0,5.0,5.0,5.0
Q054,qwen3_8b_literature_only,gene_interpretation,graph_plus_literature,answer_with_qualification,False,2.0,1.0,1.0,1.0
Q054,qwen3_8b_igkf,gene_interpretation,graph_plus_literature,answer_with_qualification,False,5.0,5.0,5.0,4.0
Q055,qwen3_8b_baseline,gene_interpretation,graph_plus_literature,answer_with_qualification,False,4.0,2.0,3.0,1.0
Q055,qwen3_8b_graph_only,gene_interpretation,graph_plus_literature,answer_with_qualification,False,5.0,5.0,4.0,5.0
Q055,qwen3_8b_literature_only,gene_interpretation,graph_plus_literature,answer_with_qualification,False,4.0,4.0,3.0,4.0
Q055,qwen3_8b_igkf,gene_interpretation,graph_plus_literature,answer_with_qualification,False,4.0,3.0,4.0,4.0
Q056,qwen3_8b_baseline,gene_interpretation,graph_plus_literature,answer_with_qualification,False,4.0,2.0,3.0,2.0
Q056,qwen3_8b_graph_only,gene_interpretation,graph_plus_literature,answer_with_qualification,False,5.0,5.0,4.0,5.0
Q056,qwen3_8b_literature_only,gene_interpretation,graph_plus_literature,answer_with_qualification,False,4.0,1.0,2.0,2.0
Q056,qwen3_8b_igkf,gene_interpretation,graph_plus_literature,answer_with_qualification,False,4.0,4.0,4.0,5.0
Q057,qwen3_8b_baseline,gene_interpretation,graph_plus_literature,answer_with_qualification,False,3.0,4.0,2.0,5.0
Q057,qwen3_8b_graph_only,gene_interpretation,graph_plus_literature,answer_with_qualification,False,5.0,5.0,5.0,5.0
Q057,qwen3_8b_literature_only,gene_interpretation,graph_plus_literature,answer_with_qualification,False,5.0,4.0,4.0,5.0
Q057,qwen3_8b_igkf,gene_interpretation,graph_plus_literature,answer_with_qualification,False,4.0,4.0,4.0,4.0
Q058,qwen3_8b_baseline,gene_interpretation,graph_plus_literature,answer_with_qualification,False,5.0,4.0,4.0,5.0
Q058,qwen3_8b_graph_only,gene_interpretation,graph_plus_literature,answer_with_qualification,False,5.0,5.0,5.0,5.0
Q058,qwen3_8b_literature_only,gene_interpretation,graph_plus_literature,answer_with_qualification,False,5.0,4.0,4.0,5.0
Q058,qwen3_8b_igkf,gene_interpretation,graph_plus_literature,answer_with_qualification,False,5.0,5.0,5.0,5.0
Q059,qwen3_8b_baseline,gene_interpretation,graph_plus_literature,answer_with_qualification,False,2.0,2.0,2.0,2.0
Q059,qwen3_8b_graph_only,gene_interpretation,graph_plus_literature,answer_with_qualification,False,5.0,5.0,5.0,5.0
Q059,qwen3_8b_literature_only,gene_interpretation,graph_plus_literature,answer_with_qualification,False,2.0,2.0,1.0,2.0
Q059,qwen3_8b_igkf,gene_interpretation,graph_plus_literature,answer_with_qualification,False,5.0,5.0,5.0,5.0
Q060,qwen3_8b_baseline,gene_interpretation,graph_plus_literature,answer_with_qualification,False,5.0,4.0,4.0,4.0
Q060,qwen3_8b_graph_only,gene_interpretation,graph_plus_literature,answer_with_qualification,False,4.0,4.0,3.0,5.0
Q060,qwen3_8b_literature_only,gene_interpretation,graph_plus_literature,answer_with_qualification,False,3.0,4.0,2.0,5.0
Q060,qwen3_8b_igkf,gene_interpretation,graph_plus_literature,answer_with_qualification,False,4.0,5.0,3.0,5.0
Q061,qwen3_8b_baseline,gene_interpretation,graph_plus_literature,answer_with_qualification,False,5.0,2.0,3.0,1.0
Q061,qwen3_8b_graph_only,gene_interpretation,graph_plus_literature,answer_with_qualification,False,5.0,4.0,4.0,3.0
Q061,qwen3_8b_literature_only,gene_interpretation,graph_plus_literature,answer_with_qualification,False,4.0,3.0,2.0,4.0
Q061,qwen3_8b_igkf,gene_interpretation,graph_plus_literature,answer_with_qualification,False,5.0,4.0,5.0,4.0
Q062,qwen3_8b_baseline,gene_interpretation,graph_plus_literature,answer_with_qualification,False,3.0,5.0,3.0,5.0
Q062,qwen3_8b_graph_only,gene_interpretation,graph_plus_literature,answer_with_qualification,False,5.0,5.0,4.0,5.0
Q062,qwen3_8b_literature_only,gene_interpretation,graph_plus_literature,answer_with_qualification,False,3.0,1.0,2.0,2.0
Q062,qwen3_8b_igkf,gene_interpretation,graph_plus_literature,answer_with_qualification,False,5.0,2.0,2.0,1.0
Q063,qwen3_8b_baseline,gene_interpretation,graph_plus_literature,answer_with_qualification,False,4.0,2.0,3.0,1.0
Q063,qwen3_8b_graph_only,gene_interpretation,graph_plus_literature,answer_with_qualification,False,4.0,2.0,3.0,1.0
Q063,qwen3_8b_literature_only,gene_interpretation,graph_plus_literature,answer_with_qualification,False,5.0,4.0,4.0,3.0
Q063,qwen3_8b_igkf,gene_interpretation,graph_plus_literature,answer_with_qualification,False,5.0,4.0,4.0,4.0
Q064,qwen3_8b_baseline,gene_interpretation,graph_plus_literature,answer_with_qualification,False,3.0,2.0,2.0,3.0
Q064,qwen3_8b_graph_only,gene_interpretation,graph_plus_literature,answer_with_qualification,False,5.0,5.0,5.0,5.0
Q064,qwen3_8b_literature_only,gene_interpretation,graph_plus_literature,answer_with_qualification,False,2.0,2.0,1.0,2.0
Q064,qwen3_8b_igkf,gene_interpretation,graph_plus_literature,answer_with_qualification,False,5.0,5.0,5.0,5.0
Q065,qwen3_8b_baseline,gene_interpretation,graph_plus_literature,answer_with_qualification,False,5.0,4.0,4.0,3.0
Q065,qwen3_8b_graph_only,gene_interpretation,graph_plus_literature,answer_with_qualification,False,2.0,3.0,1.0,5.0
